
        BPE Tokenizer Training report
        -------------------------------
        Vocabuary size                  :500
        Number of merges                :243
        First 5 merges                  :[(b' ', b't'), (b' ', b'a'), (b'h', b'e'), (b'i', b'n'), (b' t', b'he')]
    
         817001 function calls (815592 primitive calls) in 1.512 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     53/1    0.000    0.000    1.512    1.512 {built-in method builtins.exec}
        1    0.003    0.003    1.512    1.512 train_bpe.py:1(<module>)
        1    0.003    0.003    1.420    1.420 train_bpe.py:41(main)
        1    0.011    0.011    1.417    1.417 tokenizer.py:537(train_bpe)
      243    0.256    0.001    1.151    0.005 tokenizer.py:465(merge_new)
    15404    0.548    0.000    0.617    0.000 tokenizer.py:422(_add_new_contribution)
        1    0.002    0.002    0.190    0.190 tokenizer.py:199(pretokenize_parallel)
    15404    0.122    0.000    0.180    0.000 tokenizer.py:374(_delete_old_contribution)
        1    0.000    0.000    0.179    0.179 _base.py:646(__exit__)
        1    0.000    0.000    0.176    0.176 process.py:827(shutdown)
      2/1    0.000    0.000    0.175    0.175 threading.py:1094(join)
      2/1    0.000    0.000    0.175    0.175 threading.py:1132(_wait_for_tstate_lock)
     28/6    0.000    0.000    0.174    0.029 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000    0.174    0.174 threading.py:995(_bootstrap)
      2/1    0.000    0.000    0.174    0.174 threading.py:1035(_bootstrap_inner)
        1    0.000    0.000    0.174    0.174 process.py:335(run)
        1    0.000    0.000    0.174    0.174 process.py:549(join_executor_internals)
        8    0.000    0.000    0.160    0.020 util.py:205(__call__)
        1    0.000    0.000    0.160    0.160 queues.py:147(join_thread)
        1    0.000    0.000    0.160    0.160 queues.py:194(_finalize_join)
        2    0.000    0.000    0.159    0.079 process.py:403(wait_result_broken_or_wakeup)
        6    0.000    0.000    0.157    0.026 connection.py:1104(wait)
        6    0.000    0.000    0.156    0.026 selectors.py:402(select)
        6    0.156    0.026    0.156    0.026 {method 'poll' of 'select.poll' objects}
    15404    0.071    0.000    0.097    0.000 tokenizer.py:320(_build_new_pretoken)
     84/6    0.001    0.000    0.092    0.015 <frozen importlib._bootstrap>:1343(_find_and_load)
     84/6    0.000    0.000    0.092    0.015 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
     80/6    0.000    0.000    0.090    0.015 <frozen importlib._bootstrap>:905(_load_unlocked)
     52/6    0.000    0.000    0.090    0.015 <frozen importlib._bootstrap_external>:988(exec_module)
   203/12    0.000    0.000    0.085    0.007 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   285771    0.072    0.000    0.072    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.065    0.065 tokenizer.py:1(<module>)
        7    0.000    0.000    0.058    0.008 __init__.py:1(<module>)
    42/19    0.000    0.000    0.050    0.003 <frozen importlib._bootstrap>:1384(_handle_fromlist)
        1    0.023    0.023    0.037    0.037 tokenizer.py:262(build_paircount_and_cache)
   106139    0.035    0.000    0.035    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.034    0.017 process.py:1(<module>)
     15/9    0.000    0.000    0.033    0.004 {built-in method builtins.__import__}
  810/469    0.000    0.000    0.033    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.032    0.032 __init__.py:40(__getattr__)
    91521    0.032    0.000    0.032    0.000 {method 'discard' of 'set' objects}
214032/213934    0.032    0.000    0.032    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.019    0.019 regex.py:1(<module>)
       52    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1061(get_code)
      243    0.007    0.000    0.018    0.000 tokenizer.py:292(update_heap)
        1    0.000    0.000    0.016    0.016 connection.py:1(<module>)
        1    0.005    0.005    0.016    0.016 _regex_core.py:1(<module>)
        1    0.000    0.000    0.014    0.014 process.py:142(join)
        3    0.000    0.000    0.014    0.005 popen_fork.py:24(poll)
        1    0.000    0.000    0.014    0.014 popen_fork.py:36(wait)
        3    0.014    0.005    0.014    0.005 {built-in method posix.waitpid}
       80    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.012    0.012 context.py:1(<module>)
       24    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1286(create_module)
       24    0.012    0.000    0.012    0.000 {built-in method _imp.create_dynamic}
       84    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
      234    0.004    0.000    0.011    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.011    0.011 tempfile.py:1(<module>)
        1    0.000    0.000    0.010    0.010 reduction.py:1(<module>)
       80    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
       52    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:750(_compile_bytecode)
       80    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
       52    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
      243    0.002    0.000    0.008    0.000 tokenizer.py:309(_pick_best_mergetoken)
      217    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1589(find_spec)
     9994    0.008    0.000    0.008    0.000 tokenizer.py:15(__init__)
