
        BPE Tokenizer Training report
        -------------------------------
        Vocabuary size                  :500
        Number of merges                :243
        First 5 merges                  :[(b' ', b't'), (b' ', b'a'), (b'h', b'e'), (b'i', b'n'), (b' t', b'he')]
    
         816270 function calls (814844 primitive calls) in 1.592 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     54/1    0.000    0.000    1.592    1.592 {built-in method builtins.exec}
        1    0.003    0.003    1.592    1.592 train_bpe.py:1(<module>)
        1    0.003    0.003    1.498    1.498 train_bpe.py:41(main)
        1    0.014    0.014    1.495    1.495 tokenizer.py:563(train_bpe)
      243    0.271    0.001    1.219    0.005 tokenizer.py:491(merge_new)
    15404    0.576    0.000    0.650    0.000 tokenizer.py:448(_add_new_contribution)
    15404    0.131    0.000    0.193    0.000 tokenizer.py:400(_delete_old_contribution)
        1    0.002    0.002    0.190    0.190 tokenizer.py:225(pretokenize_parallel)
        1    0.000    0.000    0.180    0.180 _base.py:646(__exit__)
        1    0.000    0.000    0.177    0.177 process.py:827(shutdown)
      2/1    0.000    0.000    0.176    0.176 threading.py:1094(join)
      2/1    0.000    0.000    0.176    0.176 threading.py:1132(_wait_for_tstate_lock)
     28/6    0.000    0.000    0.176    0.029 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000    0.176    0.176 threading.py:995(_bootstrap)
      2/1    0.000    0.000    0.175    0.175 threading.py:1035(_bootstrap_inner)
        1    0.000    0.000    0.175    0.175 process.py:335(run)
        1    0.000    0.000    0.175    0.175 process.py:549(join_executor_internals)
        1    0.000    0.000    0.161    0.161 queues.py:147(join_thread)
        8    0.000    0.000    0.161    0.020 util.py:205(__call__)
        1    0.000    0.000    0.161    0.161 queues.py:194(_finalize_join)
        2    0.000    0.000    0.160    0.080 process.py:403(wait_result_broken_or_wakeup)
        6    0.000    0.000    0.158    0.026 connection.py:1104(wait)
        6    0.000    0.000    0.157    0.026 selectors.py:402(select)
        6    0.157    0.026    0.157    0.026 {method 'poll' of 'select.poll' objects}
    15404    0.076    0.000    0.104    0.000 tokenizer.py:346(_build_new_pretoken)
     86/6    0.001    0.000    0.094    0.016 <frozen importlib._bootstrap>:1343(_find_and_load)
     86/6    0.000    0.000    0.094    0.016 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
     82/6    0.000    0.000    0.092    0.015 <frozen importlib._bootstrap>:905(_load_unlocked)
     53/6    0.000    0.000    0.092    0.015 <frozen importlib._bootstrap_external>:988(exec_module)
   208/12    0.000    0.000    0.090    0.008 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   285777    0.078    0.000    0.078    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.075    0.075 tokenizer.py:1(<module>)
        7    0.002    0.000    0.061    0.009 __init__.py:1(<module>)
