
        BPE Tokenizer Training report
        -------------------------------
        Vocabuary size                  :500
        Number of merges                :243
        First 5 merges                  :[(b' ', b't'), (b' ', b'a'), (b'h', b'e'), (b'i', b'n'), (b' t', b'he')]
    
         1723109 function calls (1721758 primitive calls) in 1.655 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     48/1    0.000    0.000    1.655    1.655 {built-in method builtins.exec}
        1    0.000    0.000    1.655    1.655 train_bpe.py:1(<module>)
        1    0.003    0.003    1.579    1.579 train_bpe.py:41(main)
        1    0.013    0.013    1.576    1.576 tokenizer.py:379(train_bpe)
      243    0.249    0.001    1.045    0.004 tokenizer.py:313(merge_new)
    15404    0.525    0.000    0.577    0.000 tokenizer.py:293(_add_new_contribution)
5683/5682    0.209    0.000    0.318    0.000 {built-in method builtins.max}
      243    0.000    0.000    0.315    0.001 tokenizer.py:226(_pick_best_mergetoken)
        1    0.000    0.000    0.149    0.149 tokenizer.py:171(pretokenize)
        1    0.090    0.090    0.148    0.148 tokenizer.py:135(pretokenize_and_count)
    15404    0.086    0.000    0.120    0.000 tokenizer.py:270(_delete_old_contribution)
   836665    0.109    0.000    0.109    0.000 tokenizer.py:231(<lambda>)
    15404    0.072    0.000    0.098    0.000 tokenizer.py:239(_build_new_pretoken)
     78/3    0.001    0.000    0.076    0.025 <frozen importlib._bootstrap>:1343(_find_and_load)
     78/3    0.000    0.000    0.076    0.025 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
     74/3    0.000    0.000    0.075    0.025 <frozen importlib._bootstrap>:905(_load_unlocked)
     47/3    0.000    0.000    0.075    0.025 <frozen importlib._bootstrap_external>:988(exec_module)
    188/6    0.000    0.000    0.074    0.012 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.063    0.063 tokenizer.py:1(<module>)
        7    0.000    0.000    0.051    0.007 __init__.py:1(<module>)
        1    0.030    0.030    0.046    0.046 tokenizer.py:207(build_paircount_and_cache)
    30/11    0.000    0.000    0.044    0.004 <frozen importlib._bootstrap>:1384(_handle_fromlist)
   139532    0.039    0.000    0.039    0.000 {method 'get' of 'dict' objects}
240004/239906    0.035    0.000    0.035    0.000 {built-in method builtins.len}
   106134    0.035    0.000    0.035    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.034    0.017 process.py:1(<module>)
  753/412    0.000    0.000    0.033    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.033    0.033 __init__.py:40(__getattr__)
    91517    0.032    0.000    0.032    0.000 {method 'discard' of 'set' objects}
   160785    0.030    0.000    0.030    0.000 tokenizer.py:152(<genexpr>)
     13/7    0.000    0.000    0.027    0.004 {built-in method builtins.__import__}
        1    0.000    0.000    0.018    0.018 regex.py:1(<module>)
        1    0.000    0.000    0.016    0.016 connection.py:1(<module>)
        1    0.005    0.005    0.015    0.015 _regex_core.py:1(<module>)
       47    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1061(get_code)
        1    0.000    0.000    0.013    0.013 context.py:1(<module>)
       74    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.011    0.011 tempfile.py:1(<module>)
       78    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
       23    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1286(create_module)
       23    0.010    0.000    0.010    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.010    0.010 reduction.py:1(<module>)
      221    0.003    0.000    0.010    0.000 {built-in method builtins.__build_class__}
       74    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
    27758    0.008    0.000    0.008    0.000 {method 'group' of '_regex.Match' objects}
       74    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
       47    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:750(_compile_bytecode)
      243    0.001    0.000    0.008    0.000 tokenizer.py:333(update_vocab)
      267    0.007    0.000    0.007    0.000 {built-in method builtins.sorted}
