
        BPE Tokenizer Training report
        -------------------------------
        Vocabuary size                  :500
        Number of merges                :243
        First 5 merges                  :[(b' ', b't'), (b' ', b'a'), (b'h', b'e'), (b'i', b'n'), (b' t', b'he')]
    
         814722 function calls (813410 primitive calls) in 1.537 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     53/1    0.000    0.000    1.537    1.537 {built-in method builtins.exec}
        1    0.003    0.003    1.537    1.537 train_bpe.py:1(<module>)
        1    0.003    0.003    1.454    1.454 train_bpe.py:41(main)
        1    0.012    0.012    1.451    1.451 tokenizer.py:485(train_bpe)
      243    0.259    0.001    1.164    0.005 tokenizer.py:413(merge_new)
    15404    0.554    0.000    0.625    0.000 tokenizer.py:370(_add_new_contribution)
        1    0.002    0.002    0.197    0.197 tokenizer.py:174(pretokenize_parallel)
        1    0.000    0.000    0.187    0.187 _base.py:646(__exit__)
        1    0.000    0.000    0.184    0.184 process.py:827(shutdown)
      2/1    0.000    0.000    0.183    0.183 threading.py:1094(join)
      2/1    0.000    0.000    0.183    0.183 threading.py:1132(_wait_for_tstate_lock)
     28/6    0.000    0.000    0.183    0.030 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000    0.183    0.183 threading.py:995(_bootstrap)
      2/1    0.000    0.000    0.183    0.183 threading.py:1035(_bootstrap_inner)
        1    0.000    0.000    0.183    0.183 process.py:335(run)
    15404    0.124    0.000    0.183    0.000 tokenizer.py:322(_delete_old_contribution)
        1    0.000    0.000    0.183    0.183 process.py:549(join_executor_internals)
        1    0.000    0.000    0.169    0.169 queues.py:147(join_thread)
        8    0.000    0.000    0.169    0.021 util.py:205(__call__)
        1    0.000    0.000    0.168    0.168 queues.py:194(_finalize_join)
        2    0.000    0.000    0.168    0.084 process.py:403(wait_result_broken_or_wakeup)
        6    0.000    0.000    0.166    0.028 connection.py:1104(wait)
        6    0.000    0.000    0.165    0.028 selectors.py:402(select)
        6    0.165    0.028    0.165    0.028 {method 'poll' of 'select.poll' objects}
    15404    0.071    0.000    0.097    0.000 tokenizer.py:268(_build_new_pretoken)
     84/6    0.001    0.000    0.084    0.014 <frozen importlib._bootstrap>:1343(_find_and_load)
     84/6    0.000    0.000    0.083    0.014 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
     80/6    0.000    0.000    0.082    0.014 <frozen importlib._bootstrap>:905(_load_unlocked)
     52/6    0.000    0.000    0.082    0.014 <frozen importlib._bootstrap_external>:988(exec_module)
   203/12    0.000    0.000    0.080    0.007 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   285720    0.075    0.000    0.075    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.066    0.066 tokenizer.py:1(<module>)
        7    0.000    0.000    0.053    0.008 __init__.py:1(<module>)
        1    0.031    0.031    0.048    0.048 tokenizer.py:215(build_paircount_and_cache)
    41/18    0.000    0.000    0.047    0.003 <frozen importlib._bootstrap>:1384(_handle_fromlist)
   106129    0.036    0.000    0.036    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.035    0.018 process.py:1(<module>)
  807/466    0.000    0.000    0.034    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.034    0.034 __init__.py:40(__getattr__)
    91518    0.033    0.000    0.033    0.000 {method 'discard' of 'set' objects}
213932/213834    0.032    0.000    0.032    0.000 {built-in method builtins.len}
     15/9    0.000    0.000    0.029    0.003 {built-in method builtins.__import__}
      243    0.007    0.000    0.021    0.000 tokenizer.py:240(update_heap)
        1    0.000    0.000    0.019    0.019 regex.py:1(<module>)
        1    0.000    0.000    0.016    0.016 connection.py:1(<module>)
        1    0.005    0.005    0.016    0.016 _regex_core.py:1(<module>)
       52    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1061(get_code)
        1    0.000    0.000    0.014    0.014 process.py:142(join)
        3    0.000    0.000    0.014    0.005 popen_fork.py:24(poll)
        1    0.000    0.000    0.014    0.014 popen_fork.py:36(wait)
        3    0.014    0.005    0.014    0.005 {built-in method posix.waitpid}
        1    0.000    0.000    0.013    0.013 context.py:1(<module>)
       80    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       84    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
      234    0.004    0.000    0.011    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.011    0.011 tempfile.py:1(<module>)
       24    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1286(create_module)
       24    0.010    0.000    0.010    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.010    0.010 reduction.py:1(<module>)
     9994    0.010    0.000    0.010    0.000 tokenizer.py:12(__init__)
       80    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
       80    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
       52    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:750(_compile_bytecode)
      243    0.002    0.000    0.009    0.000 tokenizer.py:257(_pick_best_mergetoken)
       52    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
      217    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1589(find_spec)
        1    0.000    0.000    0.006    0.006 random.py:1(<module>)
        1    0.000    0.000    0.006    0.006 process.py:622(__init__)
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
     1464    0.004    0.000    0.005    0.000 {built-in method _heapq.heappop}
      118    0.000    0.000    0.005    0.000 __init__.py:280(_compile)
       12    0.000    0.000    0.005    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.005    0.005 process.py:165(__init__)
        1    0.000    0.000    0.005    0.005 queues.py:37(__init__)
        1    0.000    0.000    0.005    0.005 _psosx.py:1(<module>)
       13    0.000    0.000    0.005    0.000 _compiler.py:738(compile)
        4    0.000    0.000    0.005    0.001 context.py:65(Lock)
        5    0.000    0.000    0.004    0.001 synchronize.py:50(__init__)
        4    0.000    0.000    0.004    0.001 synchronize.py:168(__init__)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
       32    0.002    0.000    0.004    0.000 __init__.py:355(namedtuple)
     8925    0.004    0.000    0.004    0.000 {built-in method _heapq.heappush}
       52    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1182(get_data)
        1    0.000    0.000    0.004    0.004 _common.py:1(<module>)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
      380    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
     5448    0.003    0.000    0.003    0.000 {built-in method builtins.max}
        7    0.000    0.000    0.003    0.000 enum.py:902(_convert_)
        1    0.000    0.000    0.003    0.003 process.py:739(_adjust_process_count)
      380    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.003    0.003 process.py:762(_spawn_process)
        1    0.000    0.000    0.003    0.003 _psposix.py:1(<module>)
        1    0.000    0.000    0.003    0.003 process.py:110(start)
        1    0.000    0.000    0.003    0.003 context.py:286(_Popen)
       13    0.000    0.000    0.002    0.000 _parser.py:962(parse)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
    38/13    0.000    0.000    0.002    0.000 _parser.py:445(_parse_sub)
