/private/tmp/bpe-round2-813aa30/tests/adapters.py:306: SyntaxWarning: invalid escape sequence '\T'
  rope_theta (float): The RoPE $\Theta$ parameter.
         764739 function calls (764679 primitive calls) in 0.774 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.774    0.774 /private/tmp/bpe-round2-813aa30/tests/adapters.py:566(run_train_bpe)
        1    0.002    0.002    0.774    0.774 /private/tmp/bpe-round2-813aa30/cs336_basics/tokenizer.py:485(train_bpe)
        1    0.000    0.000    0.492    0.492 /private/tmp/bpe-round2-813aa30/cs336_basics/tokenizer.py:174(pretokenize_parallel)
        1    0.000    0.000    0.484    0.484 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:646(__exit__)
        1    0.000    0.000    0.480    0.480 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:856(shutdown)
      2/1    0.000    0.000    0.480    0.480 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1117(join)
      2/1    0.000    0.000    0.480    0.480 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1155(_wait_for_tstate_lock)
     26/4    0.000    0.000    0.480    0.120 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000    0.480    0.480 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1018(_bootstrap)
      2/1    0.000    0.000    0.480    0.480 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1058(_bootstrap_inner)
        1    0.000    0.000    0.480    0.480 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:339(run)
        1    0.000    0.000    0.480    0.480 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:568(join_executor_internals)
        1    0.000    0.000    0.480    0.480 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:572(_join_executor_internals)
        8    0.000    0.000    0.398    0.050 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/util.py:208(__call__)
