Fri Jul 24 17:34:08 2026    cs336_basics/profile/writeup/baseline-627d451.prof

         12413797 function calls (12413700 primitive calls) in 1.463 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.463    1.463 tests/adapters.py:566(run_train_bpe)
        1    0.010    0.010    1.463    1.463 cs336_basics/train_bpe.py:198(train_bpe)
      243    0.000    0.000    0.917    0.004 cs336_basics/train_bpe.py:74(merge)
      243    0.583    0.002    0.853    0.004 cs336_basics/train_bpe.py:77(_count_mergetokens)
      243    0.367    0.002    0.500    0.002 cs336_basics/train_bpe.py:105(merge_pretoken)
  4525881    0.244    0.000    0.244    0.000 {method 'get' of 'dict' objects}
  6828662    0.162    0.000    0.162    0.000 {built-in method builtins.len}
      243    0.000    0.000    0.064    0.000 cs336_basics/train_bpe.py:88(_pick_best_mergetoken)
  245/244    0.041    0.000    0.064    0.000 {built-in method builtins.max}
        1    0.022    0.022    0.035    0.035 cs336_basics/train_bpe.py:31(pretokenize_and_count)
   836665    0.023    0.000    0.023    0.000 cs336_basics/train_bpe.py:92(<lambda>)
   160785    0.006    0.000    0.006    0.000 cs336_basics/train_bpe.py:50(<genexpr>)
    27758    0.002    0.000    0.002    0.000 {method 'group' of '_regex.Match' objects}
    27759    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
      243    0.000    0.000    0.001    0.000 cs336_basics/train_bpe.py:135(update_vocab)
      245    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.001    0.000 .venv/lib/python3.12/site-packages/regex/regex.py:449(_compile)
        1    0.000    0.000    0.001    0.001 .venv/lib/python3.12/site-packages/regex/regex.py:340(finditer)
        1    0.000    0.000    0.000    0.000 cs336_basics/train_bpe.py:183(remove_special_tokens)
        1    0.000    0.000    0.000    0.000 .venv/lib/python3.12/site-packages/regex/regex.py:314(split)
      4/2    0.000    0.000    0.000    0.000 .venv/lib/python3.12/site-packages/regex/_regex_core.py:417(_parse_pattern)
     12/7    0.000    0.000    0.000    0.000 .venv/lib/python3.12/site-packages/regex/_regex_core.py:427(parse_sequence)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {method 'split' of '_regex.Pattern' objects}
      140    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:1561(__and__)
        2    0.000    0.000    0.000    0.000 .venv/lib/python3.12/site-packages/regex/_regex_core.py:803(parse_paren)
        1    0.000    0.000    0.000    0.000 .venv/lib/python3.12/site-packages/regex/_regex_core.py:1116(parse_flags_subpattern)
      440    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:1543(_get_value)
        2    0.000    0.000    0.000    0.000 .venv/lib/python3.12/site-packages/regex/_regex_core.py:1417(parse_set)
        1    0.000    0.000    0.000    0.000 .venv/lib/python3.12/site-packages/regex/_regex_core.py:1102(parse_subpattern)
      148    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:720(__call__)
      2/1    0.000    0.000    0.000    0.000 .venv/lib/python3.12/site-packages/regex/_regex_core.py:2039(optimise)
       10    0.000    0.000    0.000    0.000 .venv/lib/python3.12/site-packages/regex/_regex_core.py:1187(parse_escape)
      980    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     12/7    0.000    0.000    0.000    0.000 .venv/lib/python3.12/site-packages/regex/_regex_core.py:3406(optimise)
        1    0.000    0.000    0.000    0.000 .venv/lib/python3.12/site-packages/regex/_regex_core.py:335(_compile_firstset)
