         1694594 function calls (1694497 primitive calls) in 0.657 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.657    0.657 /private/tmp/bpe-round1-46e620a/tests/adapters.py:566(run_train_bpe)
        1    0.005    0.005    0.656    0.656 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:1142(train_bpe)
      243    0.110    0.000    0.307    0.001 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:55(dump_pair_count)
      243    0.049    0.000    0.235    0.001 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:1103(merge_new)
      243    0.000    0.000    0.186    0.001 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/__init__.py:183(dumps)
      243    0.000    0.000    0.186    0.001 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/encoder.py:183(encode)
      243    0.185    0.001    0.185    0.001 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/encoder.py:205(iterencode)
    15404    0.127    0.000    0.139    0.000 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:1083(_add_new_contribution)
      243    0.000    0.000    0.064    0.000 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:1123(_pick_best_mergetoken)
  245/244    0.041    0.000    0.063    0.000 {built-in method builtins.max}
        1    0.021    0.021    0.034    0.034 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:492(pretokenize_and_count)
    15404    0.018    0.000    0.026    0.000 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:1061(_delete_old_contribution)
   836665    0.023    0.000    0.023    0.000 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:1127(<lambda>)
    15404    0.015    0.000    0.020    0.000 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:1024(_build_new_pretoken)
      243    0.000    0.000    0.011    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:2208(info)
      243    0.000    0.000    0.011    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:1529(info)
      243    0.000    0.000    0.011    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:1660(_log)
        1    0.007    0.007    0.010    0.010 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:1006(build_paircount_and_cache)
   134512    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
   105982    0.009    0.000    0.009    0.000 {method 'add' of 'set' objects}
      243    0.000    0.000    0.008    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:1686(handle)
      243    0.000    0.000    0.008    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:1746(callHandlers)
      243    0.000    0.000    0.008    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:1011(handle)
      243    0.000    0.000    0.008    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:1266(emit)
      243    0.000    0.000    0.008    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:1148(emit)
    91517    0.007    0.000    0.007    0.000 {method 'discard' of 'set' objects}
   237925    0.007    0.000    0.007    0.000 {built-in method builtins.len}
      243    0.007    0.000    0.007    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   160785    0.006    0.000    0.006    0.000 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:515(<genexpr>)
    27758    0.002    0.000    0.002    0.000 {method 'group' of '_regex.Match' objects}
    27759    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
      243    0.000    0.000    0.002    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:1645(makeRecord)
      243    0.001    0.000    0.001    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:298(__init__)
      243    0.000    0.000    0.001    0.000 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:747(update_vocab)
      245    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.001    0.000 /private/tmp/bpe-round1-46e620a/.venv/lib/python3.12/site-packages/regex/regex.py:449(_compile)
      243    0.000    0.000    0.001    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:1611(findCaller)
        1    0.000    0.000    0.001    0.001 /private/tmp/bpe-round1-46e620a/.venv/lib/python3.12/site-packages/regex/regex.py:340(finditer)
      243    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:988(format)
      243    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:690(format)
      972    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
      4/2    0.000    0.000    0.000    0.000 /private/tmp/bpe-round1-46e620a/.venv/lib/python3.12/site-packages/regex/_regex_core.py:417(_parse_pattern)
     12/7    0.000    0.000    0.000    0.000 /private/tmp/bpe-round1-46e620a/.venv/lib/python3.12/site-packages/regex/_regex_core.py:427(parse_sequence)
      243    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:1137(flush)
      243    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
      243    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round1-46e620a/cs336_basics/train_bpe.py:795(remove_special_tokens)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round1-46e620a/.venv/lib/python3.12/site-packages/regex/regex.py:314(split)
      243    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
      140    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:1561(__and__)
      972    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
      243    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
      486    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/logging/__init__.py:968(acquire)
        2    0.000    0.000    0.000    0.000 /private/tmp/bpe-round1-46e620a/.venv/lib/python3.12/site-packages/regex/_regex_core.py:803(parse_paren)
