         1032186 function calls (1032089 primitive calls) in 0.317 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.317    0.317 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:485(train_bpe)
      243    0.051    0.000    0.264    0.001 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:413(merge_new)
    15404    0.136    0.000    0.152    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:370(_add_new_contribution)
    15404    0.027    0.000    0.040    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:322(_delete_old_contribution)
        1    0.000    0.000    0.033    0.033 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:161(pretokenize)
        1    0.020    0.020    0.033    0.033 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:125(pretokenize_and_count)
    15404    0.015    0.000    0.021    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:268(_build_new_pretoken)
   303000    0.018    0.000    0.018    0.000 {method 'get' of 'dict' objects}
        1    0.007    0.007    0.010    0.010 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:215(build_paircount_and_cache)
   105982    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
    91517    0.007    0.000    0.007    0.000 {method 'discard' of 'set' objects}
   239387    0.007    0.000    0.007    0.000 {built-in method builtins.len}
   160785    0.006    0.000    0.006    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:142(<genexpr>)
      243    0.002    0.000    0.004    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:240(update_heap)
     9994    0.002    0.000    0.002    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:12(__init__)
      243    0.000    0.000    0.002    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:257(_pick_best_mergetoken)
    27758    0.002    0.000    0.002    0.000 {method 'group' of '_regex.Match' objects}
    27759    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
     1464    0.001    0.000    0.001    0.000 {built-in method _heapq.heappop}
        2    0.000    0.000    0.001    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/regex.py:449(_compile)
     8925    0.001    0.000    0.001    0.000 {built-in method _heapq.heappush}
        1    0.000    0.000    0.001    0.001 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/regex.py:340(finditer)
      4/2    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:417(_parse_pattern)
     12/7    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:427(parse_sequence)
     3893    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:15(__lt__)
      243    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:68(remove_special_tokens)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/regex.py:314(split)
      140    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:1561(__and__)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:234(build_heap)
        2    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:803(parse_paren)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:1116(parse_flags_subpattern)
      440    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:1543(_get_value)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:1102(parse_subpattern)
