         845416 function calls in 0.306 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.306    0.306 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:792(train_bpe)
      243    0.055    0.000    0.267    0.001 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:720(merge_new)
    15404    0.140    0.000    0.155    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:672(_add_new_contribution)
    15404    0.027    0.000    0.040    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:621(_delete_old_contribution)
        1    0.000    0.000    0.022    0.022 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:337(pretokenize)
        1    0.013    0.013    0.021    0.021 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:275(pretokenize_and_count)
    15404    0.012    0.000    0.017    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:528(_build_new_pretoken)
   330707    0.016    0.000    0.016    0.000 {method 'get' of 'dict' objects}
        1    0.005    0.005    0.009    0.009 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:438(build_paircount_and_cache)
   105972    0.009    0.000    0.009    0.000 {method 'add' of 'set' objects}
    91514    0.007    0.000    0.007    0.000 {method 'discard' of 'set' objects}
    91698    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
      243    0.002    0.000    0.004    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:469(update_heap)
    57454    0.002    0.000    0.002    0.000 {built-in method builtins.len}
      243    0.000    0.000    0.002    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:486(_pick_best_mergetoken)
    39502    0.002    0.000    0.002    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:297(<genexpr>)
    27758    0.002    0.000    0.002    0.000 {method 'group' of '_regex.Match' objects}
    27759    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
     9994    0.001    0.000    0.001    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:17(__init__)
     1464    0.001    0.000    0.001    0.000 {built-in method _heapq.heappop}
     8925    0.001    0.000    0.001    0.000 {built-in method _heapq.heappush}
     3937    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:20(__lt__)
      243    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:463(build_heap)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:73(remove_special_tokens)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/regex.py:314(split)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/regex.py:449(_compile)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:417(_parse_pattern)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:427(parse_sequence)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       33    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:1561(__and__)
        1    0.000    0.000    0.000    0.000 {built-in method _heapq.heapify}
      243    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:751(update_vocab)
        1    0.000    0.000    0.000    0.000 {method 'split' of '_regex.Pattern' objects}
      490    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:2484(__init__)
      105    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:1543(_get_value)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open}
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:62(init_vocab)
      243    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:56(dump_pair_count)
        2    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:1187(parse_escape)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:3418(pack_characters)
        2    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:394(make_character)
       35    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:720(__call__)
      187    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:384(make_case_flags)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/regex.py:377(escape)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:3500(_flush_characters)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:3406(optimise)
        1    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/locale.py:667(getpreferredencoding)
       35    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:1128(__new__)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:4316(_get_required_string)
        2    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:1550(__or__)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:4215(__init__)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/.venv/lib/python3.12/site-packages/regex/_regex_core.py:3402(fix_groups)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        3    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/locale.py:600(setlocale)
