         764724 function calls (764664 primitive calls) in 0.780 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.780    0.780 /private/tmp/bpe-round4/tests/adapters.py:566(run_train_bpe)
        1    0.002    0.002    0.779    0.779 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:485(train_bpe)
        1    0.000    0.000    0.489    0.489 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:174(pretokenize_parallel)
        1    0.000    0.000    0.481    0.481 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:646(__exit__)
        1    0.000    0.000    0.477    0.477 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:856(shutdown)
      2/1    0.000    0.000    0.476    0.476 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1117(join)
      2/1    0.000    0.000    0.476    0.476 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1155(_wait_for_tstate_lock)
     26/4    0.000    0.000    0.476    0.119 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000    0.476    0.476 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1018(_bootstrap)
      2/1    0.000    0.000    0.476    0.476 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1058(_bootstrap_inner)
        1    0.000    0.000    0.476    0.476 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:339(run)
        1    0.000    0.000    0.476    0.476 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:568(join_executor_internals)
        1    0.000    0.000    0.476    0.476 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:572(_join_executor_internals)
