         764770 function calls (764710 primitive calls) in 0.751 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.751    0.751 /private/tmp/bpe-round4/tests/adapters.py:566(run_train_bpe)
        1    0.002    0.002    0.751    0.751 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:537(train_bpe)
        1    0.000    0.000    0.462    0.462 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:199(pretokenize_parallel)
        1    0.000    0.000    0.457    0.457 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:646(__exit__)
        1    0.000    0.000    0.455    0.455 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:856(shutdown)
      2/1    0.000    0.000    0.455    0.455 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1117(join)
      2/1    0.000    0.000    0.455    0.455 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1155(_wait_for_tstate_lock)
     26/4    0.000    0.000    0.455    0.114 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000    0.455    0.455 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1018(_bootstrap)
      2/1    0.000    0.000    0.455    0.455 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1058(_bootstrap_inner)
        1    0.000    0.000    0.455    0.455 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:339(run)
        1    0.000    0.000    0.455    0.455 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:568(join_executor_internals)
        1    0.000    0.000    0.455    0.455 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:572(_join_executor_internals)
        8    0.000    0.000    0.381    0.048 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/util.py:208(__call__)
        1    0.000    0.000    0.381    0.381 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/queues.py:147(join_thread)
        1    0.000    0.000    0.381    0.381 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/queues.py:214(_finalize_join)
        2    0.000    0.000    0.381    0.190 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:414(wait_result_broken_or_wakeup)
        6    0.000    0.000    0.380    0.063 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/connection.py:1122(wait)
        6    0.000    0.000    0.380    0.063 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/selectors.py:402(select)
        6    0.379    0.063    0.379    0.063 {method 'poll' of 'select.poll' objects}
      243    0.055    0.000    0.271    0.001 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:465(merge_new)
    15404    0.139    0.000    0.155    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:422(_add_new_contribution)
        1    0.000    0.000    0.073    0.073 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/process.py:142(join)
        3    0.000    0.000    0.073    0.024 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/popen_fork.py:24(poll)
        1    0.000    0.000    0.073    0.073 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/popen_fork.py:36(wait)
        3    0.073    0.024    0.073    0.024 {built-in method posix.waitpid}
    15404    0.028    0.000    0.041    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:374(_delete_old_contribution)
    15404    0.015    0.000    0.020    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:320(_build_new_pretoken)
   279974    0.017    0.000    0.017    0.000 {method 'get' of 'dict' objects}
        1    0.006    0.006    0.010    0.010 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:262(build_paircount_and_cache)
   105977    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
    91518    0.007    0.000    0.007    0.000 {method 'discard' of 'set' objects}
   211611    0.006    0.000    0.006    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.004    0.004 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:650(__init__)
        2    0.000    0.000    0.004    0.002 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/util.py:450(spawnv_passfds)
        2    0.004    0.002    0.004    0.002 {built-in method _posixsubprocess.fork_exec}
      243    0.002    0.000    0.004    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:292(update_heap)
        1    0.000    0.000    0.003    0.003 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:174(__init__)
        1    0.000    0.000    0.003    0.003 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/queues.py:37(__init__)
        4    0.000    0.000    0.003    0.001 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/context.py:65(Lock)
        5    0.000    0.000    0.003    0.001 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/synchronize.py:50(__init__)
        4    0.000    0.000    0.003    0.001 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/synchronize.py:168(__init__)
       10    0.000    0.000    0.003    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/resource_tracker.py:205(_send)
        5    0.000    0.000    0.003    0.001 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/resource_tracker.py:197(register)
       11    0.000    0.000    0.003    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/resource_tracker.py:118(ensure_running)
        1    0.000    0.000    0.002    0.002 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:768(_adjust_process_count)
        1    0.000    0.000    0.002    0.002 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:791(_spawn_process)
        1    0.000    0.000    0.002    0.002 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/process.py:110(start)
        1    0.000    0.000    0.002    0.002 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/context.py:286(_Popen)
      243    0.000    0.000    0.002    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:309(_pick_best_mergetoken)
        1    0.000    0.000    0.002    0.002 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/popen_spawn_posix.py:30(__init__)
        1    0.000    0.000    0.002    0.002 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/popen_fork.py:15(__init__)
        1    0.000    0.000    0.002    0.002 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/popen_spawn_posix.py:38(_launch)
     9994    0.001    0.000    0.001    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:15(__init__)
     1464    0.001    0.000    0.001    0.000 {built-in method _heapq.heappop}
      7/3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1349(_find_and_load)
      7/3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      7/3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:911(_load_unlocked)
     8925    0.001    0.000    0.001    0.000 {built-in method _heapq.heappush}
        1    0.000    0.000    0.001    0.001 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/connection.py:246(recv)
      5/3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:993(exec_module)
        1    0.001    0.001    0.001    0.001 {built-in method _pickle.loads}
     16/6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      6/3    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
        4    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:391(add_call_item_to_queue)
     13/9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.__import__}
        2    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/queues.py:86(put)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:79(find_chunk_boundaries)
        4    0.000    0.000    0.000    0.000 {method 'dump' of '_pickle.Pickler' objects}
        1    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/queues.py:175(_start_thread)
        1    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/resource_tracker.py:1(<module>)
     3941    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:18(__lt__)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:286(build_heap)
        2    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/reduction.py:58(dump)
        4    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/connection.py:253(poll)
      243    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        4    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/connection.py:439(_poll)
        1    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:598(_check_system_limits)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        4    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/connection.py:182(send_bytes)
        2    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:86(wakeup)
      2/1    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:975(start)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:91(clear)
        5    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/popen_spawn_posix.py:1(<module>)
      150    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
        1    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:294(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
        2    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/reduction.py:48(dumps)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        2    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:884(__init__)
        4    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/connection.py:406(_send_bytes)
        5    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/synchronize.py:121(_make_name)
      164    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/reduction.py:38(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        5    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/tempfile.py:153(__next__)
