         764711 function calls (764651 primitive calls) in 0.744 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.744    0.744 /private/tmp/bpe-round4/tests/adapters.py:566(run_train_bpe)
        1    0.002    0.002    0.743    0.743 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:607(train_bpe)
        1    0.000    0.000    0.457    0.457 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:263(pretokenize_parallel)
        1    0.000    0.000    0.453    0.453 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:646(__exit__)
        1    0.000    0.000    0.450    0.450 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:856(shutdown)
      2/1    0.000    0.000    0.450    0.450 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1117(join)
      2/1    0.000    0.000    0.450    0.450 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1155(_wait_for_tstate_lock)
     26/4    0.000    0.000    0.450    0.113 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000    0.450    0.450 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1018(_bootstrap)
      2/1    0.000    0.000    0.450    0.450 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1058(_bootstrap_inner)
        1    0.000    0.000    0.450    0.450 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:339(run)
        1    0.000    0.000    0.450    0.450 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:568(join_executor_internals)
        1    0.000    0.000    0.450    0.450 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:572(_join_executor_internals)
