         697288 function calls (697228 primitive calls) in 0.743 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.743    0.743 /private/tmp/bpe-round4/tests/adapters.py:566(run_train_bpe)
        1    0.002    0.002    0.743    0.743 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:647(train_bpe)
        1    0.000    0.000    0.457    0.457 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:263(pretokenize_parallel)
        1    0.000    0.000    0.452    0.452 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:646(__exit__)
        1    0.000    0.000    0.450    0.450 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:856(shutdown)
      2/1    0.000    0.000    0.450    0.450 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1117(join)
      2/1    0.000    0.000    0.450    0.450 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1155(_wait_for_tstate_lock)
     26/4    0.000    0.000    0.450    0.112 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000    0.449    0.449 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1018(_bootstrap)
      2/1    0.000    0.000    0.449    0.449 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1058(_bootstrap_inner)
        1    0.000    0.000    0.449    0.449 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:339(run)
        1    0.000    0.000    0.449    0.449 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:568(join_executor_internals)
        1    0.000    0.000    0.449    0.449 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:572(_join_executor_internals)
        8    0.000    0.000    0.378    0.047 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/util.py:208(__call__)
        1    0.000    0.000    0.378    0.378 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/queues.py:147(join_thread)
        1    0.000    0.000    0.378    0.378 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/queues.py:214(_finalize_join)
        2    0.000    0.000    0.377    0.189 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/process.py:414(wait_result_broken_or_wakeup)
        6    0.000    0.000    0.377    0.063 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/connection.py:1122(wait)
        6    0.000    0.000    0.376    0.063 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/selectors.py:402(select)
        6    0.376    0.063    0.376    0.063 {method 'poll' of 'select.poll' objects}
      243    0.055    0.000    0.268    0.001 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:575(merge_new)
    15404    0.142    0.000    0.157    0.000 /private/tmp/bpe-round4/cs336_basics/tokenizer.py:529(_add_new_contribution)
        1    0.000    0.000    0.071    0.071 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/process.py:142(join)
        3    0.000    0.000    0.071    0.024 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/popen_fork.py:24(poll)
        1    0.000    0.000    0.071    0.071 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/multiprocessing/popen_fork.py:36(wait)
