/private/tmp/bpe-parallel-before/tests/adapters.py:306: SyntaxWarning: invalid escape sequence '\T'
  rope_theta (float): The RoPE $\Theta$ parameter.
         1673934 function calls (1673837 primitive calls) in 0.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.362    0.362 /private/tmp/bpe-parallel-before/tests/adapters.py:566(run_train_bpe)
        1    0.003    0.003    0.361    0.361 /private/tmp/bpe-parallel-before/cs336_basics/tokenizer.py:237(train_bpe)
      243    0.050    0.000    0.237    0.001 /private/tmp/bpe-parallel-before/cs336_basics/tokenizer.py:207(merge_new)
    15404    0.130    0.000    0.142    0.000 /private/tmp/bpe-parallel-before/cs336_basics/tokenizer.py:187(_add_new_contribution)
      243    0.000    0.000    0.064    0.000 /private/tmp/bpe-parallel-before/cs336_basics/tokenizer.py:120(_pick_best_mergetoken)
  245/244    0.041    0.000    0.064    0.000 {built-in method builtins.max}
        1    0.028    0.028    0.045    0.045 /private/tmp/bpe-parallel-before/cs336_basics/tokenizer.py:79(pretokenize_and_count)
    15404    0.018    0.000    0.025    0.000 /private/tmp/bpe-parallel-before/cs336_basics/tokenizer.py:164(_delete_old_contribution)
   836665    0.023    0.000    0.023    0.000 /private/tmp/bpe-parallel-before/cs336_basics/tokenizer.py:125(<lambda>)
    15404    0.015    0.000    0.020    0.000 /private/tmp/bpe-parallel-before/cs336_basics/tokenizer.py:133(_build_new_pretoken)
        1    0.007    0.007    0.011    0.011 /private/tmp/bpe-parallel-before/cs336_basics/tokenizer.py:101(build_paircount_and_cache)
   133783    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
   105982    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
   160785    0.008    0.000    0.008    0.000 /private/tmp/bpe-parallel-before/cs336_basics/tokenizer.py:96(<genexpr>)
    91517    0.007    0.000    0.007    0.000 {method 'discard' of 'set' objects}
   237682    0.007    0.000    0.007    0.000 {built-in method builtins.len}
    27758    0.003    0.000    0.003    0.000 {method 'group' of '_regex.Match' objects}
    27759    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
      243    0.000    0.000    0.001    0.000 /private/tmp/bpe-parallel-before/cs336_basics/tokenizer.py:227(update_vocab)
      245    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.001    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/regex.py:449(_compile)
        1    0.000    0.000    0.001    0.001 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/regex.py:340(finditer)
      4/2    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/_regex_core.py:417(_parse_pattern)
     12/7    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/_regex_core.py:427(parse_sequence)
      243    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      140    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:1561(__and__)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/cs336_basics/tokenizer.py:48(remove_special_tokens)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/regex.py:314(split)
      2/1    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/_regex_core.py:2039(optimise)
        2    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/_regex_core.py:803(parse_paren)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/_regex_core.py:1116(parse_flags_subpattern)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/_regex_core.py:335(_compile_firstset)
     12/7    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/_regex_core.py:3406(optimise)
      440    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:1543(_get_value)
      2/1    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/_regex_core.py:2133(_flatten_branches)
      148    0.000    0.000    0.000    0.000 /Users/zehualu/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/enum.py:720(__call__)
     46/3    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/_regex_core.py:1897(compile)
        1    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/_regex_core.py:345(_check_firstset)
      9/6    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/_regex_core.py:3418(pack_characters)
        2    0.000    0.000    0.000    0.000 /private/tmp/bpe-parallel-before/.venv/lib/python3.12/site-packages/regex/_regex_core.py:1417(parse_set)
