Vocabulary size: 500
Number of merges: 243
First 5 merges: [(b' ', b't'), (b' ', b'a'), (b'h', b'e'), (b'i', b'n'), (b' t', b'he')]
         24643482 function calls (24642213 primitive calls) in 12.870 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     52/1    0.000    0.000   12.870   12.870 {built-in method builtins.exec}
        1    0.000    0.000   12.870   12.870 train_bpe.py:1(<module>)
        1    0.001    0.001   12.796   12.796 train_bpe.py:3(main)
        1    0.122    0.122   12.793   12.793 tokenizer.py:472(train_parallel)
      243    4.241    0.017    6.901    0.028 tokenizer.py:368(_merge_pretokens_new)
      243    2.796    0.012    4.015    0.017 tokenizer.py:278(_count_adjacent_pairs)
13597442/13597345    1.712    0.000    1.712    0.000 {built-in method builtins.len}
      243    0.551    0.002    1.272    0.005 tokenizer.py:316(_log_merge_steps)
  5641752    1.096    0.000    1.096    0.000 {method 'append' of 'list' objects}
  4504567    1.074    0.000    1.074    0.000 {method 'get' of 'dict' objects}
      243    0.002    0.000    0.672    0.003 __init__.py:183(dumps)
      243    0.001    0.000    0.670    0.003 encoder.py:183(encode)
      243    0.668    0.003    0.668    0.003 encoder.py:205(iterencode)
     5930    0.204    0.000    0.309    0.000 {built-in method builtins.max}
      243    0.001    0.000    0.305    0.001 tokenizer.py:297(_find_best_merge_pair)
        1    0.000    0.000    0.174    0.174 tokenizer.py:216(_pretokenize_and_count_parallel)
        1    0.000    0.000    0.168    0.168 _base.py:646(__exit__)
        1    0.000    0.000    0.165    0.165 process.py:827(shutdown)
      2/1    0.001    0.000    0.164    0.164 threading.py:1094(join)
      2/1    0.000    0.000    0.164    0.164 threading.py:1132(_wait_for_tstate_lock)
     33/6    0.000    0.000    0.164    0.027 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000    0.164    0.164 threading.py:995(_bootstrap)
      2/1    0.000    0.000    0.164    0.164 threading.py:1035(_bootstrap_inner)
        1    0.000    0.000    0.164    0.164 process.py:335(run)
        1    0.000    0.000    0.164    0.164 process.py:549(join_executor_internals)
        8    0.000    0.000    0.150    0.019 util.py:205(__call__)
        1    0.000    0.000    0.150    0.150 queues.py:147(join_thread)
        1    0.000    0.000    0.149    0.149 queues.py:194(_finalize_join)
        3    0.000    0.000    0.148    0.049 process.py:403(wait_result_broken_or_wakeup)
        8    0.000    0.000    0.145    0.018 connection.py:1104(wait)
        8    0.000    0.000    0.145    0.018 selectors.py:402(select)
        8    0.145    0.018    0.145    0.018 {method 'poll' of 'select.poll' objects}
   836665    0.105    0.000    0.105    0.000 tokenizer.py:313(<lambda>)
     86/4    0.001    0.000    0.078    0.019 <frozen importlib._bootstrap>:1343(_find_and_load)
     86/4    0.000    0.000    0.077    0.019 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
     75/4    0.000    0.000    0.077    0.019 <frozen importlib._bootstrap>:905(_load_unlocked)
     50/4    0.000    0.000    0.077    0.019 <frozen importlib._bootstrap_external>:988(exec_module)
    194/8    0.000    0.000    0.076    0.009 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.073    0.073 tokenizer.py:1(<module>)
      243    0.001    0.000    0.049    0.000 __init__.py:2215(info)
      243    0.001    0.000    0.048    0.000 __init__.py:1529(info)
      243    0.001    0.000    0.047    0.000 __init__.py:1660(_log)
        7    0.001    0.000    0.040    0.006 __init__.py:1(<module>)
    32/16    0.000    0.000    0.035    0.002 <frozen importlib._bootstrap>:1384(_handle_fromlist)
        2    0.000    0.000    0.034    0.017 process.py:1(<module>)
 1113/772    0.001    0.000    0.034    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.033    0.033 __init__.py:40(__getattr__)
      243    0.001    0.000    0.031    0.000 __init__.py:1686(handle)
      243    0.001    0.000    0.031    0.000 __init__.py:1746(callHandlers)
      243    0.001    0.000    0.030    0.000 __init__.py:1011(handle)
      243    0.000    0.000    0.029    0.000 __init__.py:1266(emit)
      243    0.003    0.000    0.028    0.000 __init__.py:1148(emit)
      243    0.021    0.000    0.021    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     11/8    0.000    0.000    0.020    0.002 {built-in method builtins.__import__}
        1    0.000    0.000    0.016    0.016 regex.py:1(<module>)
        1    0.000    0.000    0.015    0.015 connection.py:1(<module>)
        1    0.000    0.000    0.014    0.014 process.py:142(join)
        3    0.000    0.000    0.014    0.005 popen_fork.py:24(poll)
        1    0.000    0.000    0.014    0.014 popen_fork.py:36(wait)
        3    0.014    0.005    0.014    0.005 {built-in method posix.waitpid}
        1    0.000    0.000    0.014    0.014 context.py:1(<module>)
       50    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1061(get_code)
        1    0.004    0.004    0.014    0.014 _regex_core.py:1(<module>)
       86    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
        1    0.000    0.000    0.012    0.012 pathlib.py:1(<module>)
       75    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       83    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
      253    0.004    0.000    0.011    0.000 {built-in method builtins.__build_class__}
       83    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
        1    0.000    0.000    0.011    0.011 reduction.py:1(<module>)
        1    0.000    0.000    0.011    0.011 tempfile.py:1(<module>)
      246    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1589(find_spec)
      243    0.001    0.000    0.010    0.000 __init__.py:1645(makeRecord)
       22    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1286(create_module)
       22    0.009    0.000    0.009    0.000 {built-in method _imp.create_dynamic}
      243    0.004    0.000    0.009    0.000 __init__.py:298(__init__)
       50    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:750(_compile_bytecode)
       50    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
        1    0.000    0.000    0.006    0.006 random.py:1(<module>)
        1    0.000    0.000    0.006    0.006 parse.py:1(<module>)
        1    0.000    0.000    0.006    0.006 process.py:622(__init__)
      117    0.000    0.000    0.005    0.000 __init__.py:280(_compile)
      243    0.002    0.000    0.004    0.000 __init__.py:1611(findCaller)
       11    0.000    0.000    0.004    0.000 __init__.py:226(compile)
       12    0.000    0.000    0.004    0.000 _compiler.py:738(compile)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 process.py:165(__init__)
        1    0.000    0.000    0.004    0.004 queues.py:37(__init__)
      243    0.001    0.000    0.004    0.000 tokenizer.py:401(_update_vocab)
        4    0.000    0.000    0.004    0.001 context.py:65(Lock)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
       50    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1182(get_data)
        7    0.001    0.000    0.003    0.000 enum.py:902(_convert_)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        5    0.000    0.000    0.003    0.001 synchronize.py:50(__init__)
        4    0.000    0.000    0.003    0.001 synchronize.py:168(__init__)
      243    0.000    0.000    0.003    0.000 __init__.py:988(format)
      403    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      243    0.001    0.000    0.003    0.000 __init__.py:690(format)
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1640(_fill_cache)
      403    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        7    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.003    0.003 process.py:739(_adjust_process_count)
        1    0.000    0.000    0.003    0.003 process.py:762(_spawn_process)
        1    0.000    0.000    0.003    0.003 process.py:110(start)
        1    0.000    0.000    0.002    0.002 context.py:286(_Popen)
       12    0.000    0.000    0.002    0.000 _parser.py:962(parse)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
     1199    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    36/12    0.000    0.000    0.002    0.000 _parser.py:445(_parse_sub)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1294(exec_module)
       86    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
    47/12    0.001    0.000    0.002    0.000 _parser.py:505(_parse)
       22    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
      972    0.001    0.000    0.002    0.000 __init__.py:200(_is_internal_frame)
        1    0.000    0.000    0.002    0.002 tokenizer.py:85(__init__)
        1    0.000    0.000    0.002    0.002 tokenizer.py:100(_set_up_logging)
        1    0.001    0.001    0.002    0.002 connection.py:245(recv)
        3    0.002    0.001    0.002    0.001 {built-in method _io.open}
       50    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:2028(basicConfig)
        1    0.000    0.000    0.002    0.002 __init__.py:1206(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:1257(_open)
       12    0.000    0.000    0.002    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      103    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      243    0.001    0.000    0.002    0.000 __init__.py:1137(flush)
        7    0.001    0.000    0.002    0.000 enum.py:1679(convert_class)
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
        1    0.000    0.000    0.002    0.002 process.py:570(_check_system_limits)
       75    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
  272/238    0.001    0.000    0.002    0.000 {built-in method __new__ of type object at 0x10674b880}
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
    91/12    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
      243    0.001    0.000    0.001    0.000 <frozen posixpath>:169(basename)
        1    0.000    0.000    0.001    0.001 popen_spawn_posix.py:30(__init__)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 popen_fork.py:15(__init__)
        7    0.000    0.000    0.001    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.001    0.001 popen_spawn_posix.py:38(_launch)
        1    0.001    0.001    0.001    0.001 {built-in method _pickle.loads}
     3371    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      243    0.001    0.000    0.001    0.000 <frozen posixpath>:117(splitext)
      100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:481(cache_from_source)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1165(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        2    0.000    0.000    0.001    0.001 util.py:447(spawnv_passfds)
       10    0.000    0.000    0.001    0.000 resource_tracker.py:161(_send)
        8    0.000    0.000    0.001    0.000 enum.py:515(__new__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      243    0.000    0.000    0.001    0.000 __init__.py:674(formatMessage)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 synchronize.py:1(<module>)
        5    0.000    0.000    0.001    0.000 resource_tracker.py:153(register)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
      104    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       11    0.000    0.000    0.001    0.000 resource_tracker.py:78(ensure_running)
        1    0.000    0.000    0.001    0.001 resource_tracker.py:1(<module>)
      122    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        2    0.001    0.000    0.001    0.000 {built-in method _posixsubprocess.fork_exec}
        1    0.001    0.001    0.001    0.001 synchronize.py:370(Barrier)
       72    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:610(_get_cached)
      243    0.000    0.000    0.001    0.000 __init__.py:462(format)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
      103    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
