Vocabulary size: 500
Number of merges: 243
First 5 merges: [(b' ', b't'), (b' ', b'a'), (b'h', b'e'), (b'i', b'n'), (b' t', b'he')]
         24643446 function calls (24642177 primitive calls) in 13.632 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     52/1    0.000    0.000   13.632   13.632 {built-in method builtins.exec}
        1    0.000    0.000   13.632   13.632 train_bpe.py:1(<module>)
        1    0.001    0.001   13.552   13.552 train_bpe.py:3(main)
        1    0.143    0.143   13.549   13.549 tokenizer.py:436(train)
      243    4.501    0.019    7.319    0.030 tokenizer.py:331(_merge_pretokens)
      243    2.970    0.012    4.253    0.018 tokenizer.py:269(_count_adjacent_pairs)
13597440/13597343    1.840    0.000    1.840    0.000 {built-in method builtins.len}
      243    0.572    0.002    1.316    0.005 tokenizer.py:307(_log_merge_steps)
  5641751    1.135    0.000    1.135    0.000 {method 'append' of 'list' objects}
  4504567    1.129    0.000    1.129    0.000 {method 'get' of 'dict' objects}
      243    0.002    0.000    0.684    0.003 __init__.py:183(dumps)
      243    0.002    0.000    0.682    0.003 encoder.py:183(encode)
      243    0.679    0.003    0.679    0.003 encoder.py:205(iterencode)
     5930    0.210    0.000    0.323    0.000 {built-in method builtins.max}
      243    0.001    0.000    0.317    0.001 tokenizer.py:288(_find_best_merge_pair)
        1    0.000    0.000    0.196    0.196 tokenizer.py:237(_pretokenize_and_count_parallel)
        1    0.000    0.000    0.189    0.189 _base.py:646(__exit__)
        1    0.000    0.000    0.186    0.186 process.py:827(shutdown)
      2/1    0.001    0.000    0.185    0.185 threading.py:1094(join)
      2/1    0.000    0.000    0.185    0.185 threading.py:1132(_wait_for_tstate_lock)
     33/6    0.000    0.000    0.185    0.031 {method 'acquire' of '_thread.lock' objects}
      2/1    0.000    0.000    0.185    0.185 threading.py:995(_bootstrap)
      2/1    0.000    0.000    0.185    0.185 threading.py:1035(_bootstrap_inner)
        1    0.000    0.000    0.185    0.185 process.py:335(run)
        1    0.000    0.000    0.185    0.185 process.py:549(join_executor_internals)
        8    0.000    0.000    0.168    0.021 util.py:205(__call__)
        1    0.000    0.000    0.168    0.168 queues.py:147(join_thread)
        1    0.000    0.000    0.168    0.168 queues.py:194(_finalize_join)
        3    0.000    0.000    0.166    0.055 process.py:403(wait_result_broken_or_wakeup)
        8    0.000    0.000    0.164    0.021 connection.py:1104(wait)
        8    0.000    0.000    0.163    0.020 selectors.py:402(select)
        8    0.163    0.020    0.163    0.020 {method 'poll' of 'select.poll' objects}
   836665    0.112    0.000    0.112    0.000 tokenizer.py:304(<lambda>)
     86/4    0.001    0.000    0.083    0.021 <frozen importlib._bootstrap>:1343(_find_and_load)
     86/4    0.000    0.000    0.083    0.021 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
     75/4    0.000    0.000    0.083    0.021 <frozen importlib._bootstrap>:905(_load_unlocked)
     50/4    0.000    0.000    0.082    0.021 <frozen importlib._bootstrap_external>:988(exec_module)
    194/8    0.000    0.000    0.082    0.010 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.080    0.080 tokenizer.py:1(<module>)
      243    0.001    0.000    0.060    0.000 __init__.py:2215(info)
      243    0.001    0.000    0.058    0.000 __init__.py:1529(info)
      243    0.001    0.000    0.057    0.000 __init__.py:1660(_log)
        7    0.002    0.000    0.045    0.006 __init__.py:1(<module>)
      243    0.001    0.000    0.040    0.000 __init__.py:1686(handle)
      243    0.001    0.000    0.039    0.000 __init__.py:1746(callHandlers)
      243    0.001    0.000    0.039    0.000 __init__.py:1011(handle)
    32/16    0.000    0.000    0.038    0.002 <frozen importlib._bootstrap>:1384(_handle_fromlist)
      243    0.000    0.000    0.037    0.000 __init__.py:1266(emit)
      243    0.003    0.000    0.037    0.000 __init__.py:1148(emit)
        2    0.000    0.000    0.037    0.018 process.py:1(<module>)
 1113/772    0.001    0.000    0.036    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.036    0.036 __init__.py:40(__getattr__)
      243    0.029    0.000    0.029    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.021    0.021 regex.py:1(<module>)
     11/8    0.000    0.000    0.020    0.003 {built-in method builtins.__import__}
        1    0.005    0.005    0.017    0.017 _regex_core.py:1(<module>)
        1    0.000    0.000    0.017    0.017 connection.py:1(<module>)
        1    0.000    0.000    0.017    0.017 process.py:142(join)
        3    0.000    0.000    0.017    0.006 popen_fork.py:24(poll)
        1    0.000    0.000    0.017    0.017 popen_fork.py:36(wait)
        3    0.017    0.006    0.017    0.006 {built-in method posix.waitpid}
       50    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1061(get_code)
       75    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.013    0.013 context.py:1(<module>)
       22    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1286(create_module)
       86    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
       22    0.012    0.001    0.012    0.001 {built-in method _imp.create_dynamic}
      253    0.004    0.000    0.011    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.011    0.011 tempfile.py:1(<module>)
      243    0.001    0.000    0.011    0.000 __init__.py:1645(makeRecord)
       83    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
        1    0.000    0.000    0.010    0.010 reduction.py:1(<module>)
      243    0.004    0.000    0.010    0.000 __init__.py:298(__init__)
       83    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
      246    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1589(find_spec)
       50    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:750(_compile_bytecode)
       50    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.007    0.007 random.py:1(<module>)
        1    0.000    0.000    0.006    0.006 parse.py:1(<module>)
        1    0.000    0.000    0.006    0.006 process.py:622(__init__)
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
      117    0.000    0.000    0.005    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.005    0.005 process.py:165(__init__)
        1    0.000    0.000    0.005    0.005 queues.py:37(__init__)
        4    0.000    0.000    0.005    0.001 context.py:65(Lock)
        5    0.000    0.000    0.005    0.001 synchronize.py:50(__init__)
       11    0.000    0.000    0.005    0.000 __init__.py:226(compile)
      243    0.002    0.000    0.005    0.000 __init__.py:1611(findCaller)
       12    0.000    0.000    0.005    0.000 _compiler.py:738(compile)
        4    0.000    0.000    0.005    0.001 synchronize.py:168(__init__)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
       50    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1182(get_data)
      243    0.001    0.000    0.004    0.000 tokenizer.py:364(_update_vocab)
      243    0.000    0.000    0.003    0.000 __init__.py:988(format)
        7    0.000    0.000    0.003    0.000 enum.py:902(_convert_)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.003    0.003 util.py:1(<module>)
