
    BPE Tokenizer Training report
    -------------------------------
    Vocabuary size                  :500
    Number of merges                :243
    First 5 merges                  :[(b' ', b't'), (b' ', b'a'), (b'h', b'e'), (b'i', b'n'), (b' t', b'he')]
    
         1717354 function calls (1716827 primitive calls) in 3.397 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     12/1    0.000    0.000    3.397    3.397 {built-in method builtins.exec}
        1    0.000    0.000    3.397    3.397 train_bpe.py:1(<module>)
        1    0.003    0.003    3.358    3.358 train_bpe.py:503(main)
        1    0.031    0.031    3.355    3.355 train_bpe.py:220(train_bpe)
      243    0.654    0.003    1.513    0.006 train_bpe.py:39(dump_pair_count)
      243    0.282    0.001    1.193    0.005 train_bpe.py:190(merge_new)
      243    0.002    0.000    0.809    0.003 __init__.py:183(dumps)
      243    0.002    0.000    0.807    0.003 encoder.py:183(encode)
      243    0.804    0.003    0.804    0.003 encoder.py:205(iterencode)
    15404    0.584    0.000    0.644    0.000 train_bpe.py:170(_add_new_contribution)
5608/5607    0.241    0.000    0.387    0.000 {built-in method builtins.max}
      243    0.001    0.000    0.385    0.002 train_bpe.py:103(_pick_best_mergetoken)
        1    0.103    0.103    0.169    0.169 train_bpe.py:57(pretokenize_and_count)
   836665    0.146    0.000    0.146    0.000 train_bpe.py:108(<lambda>)
    15404    0.100    0.000    0.140    0.000 train_bpe.py:147(_delete_old_contribution)
    15404    0.085    0.000    0.127    0.000 train_bpe.py:116(_build_new_pretoken)
239148/239056    0.053    0.000    0.053    0.000 {built-in method builtins.len}
        1    0.033    0.033    0.051    0.051 train_bpe.py:84(build_paircount_and_cache)
      243    0.001    0.000    0.049    0.000 __init__.py:2215(info)
      243    0.001    0.000    0.048    0.000 __init__.py:1529(info)
      243    0.001    0.000    0.046    0.000 __init__.py:1660(_log)
   140067    0.046    0.000    0.046    0.000 {method 'get' of 'dict' objects}
   105994    0.039    0.000    0.039    0.000 {method 'add' of 'set' objects}
     17/3    0.000    0.000    0.039    0.013 <frozen importlib._bootstrap>:1343(_find_and_load)
     17/3    0.000    0.000    0.039    0.013 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
     16/3    0.000    0.000    0.038    0.013 <frozen importlib._bootstrap>:905(_load_unlocked)
     11/3    0.000    0.000    0.038    0.013 <frozen importlib._bootstrap_external>:988(exec_module)
    91517    0.037    0.000    0.037    0.000 {method 'discard' of 'set' objects}
